sample_id,cluster_label
0,1
1,0
2,2
3,1
4,4
5,4
6,4
7,3
8,0
9,2
10,0
11,3
12,2
13,0
14,3
15,0
16,1
17,2
18,2
19,3
20,3
21,0
22,0
23,4
24,3
25,4
26,3
27,1
28,0
29,4
30,2
31,0
32,2
33,3
34,4
35,2
36,2
37,3
38,0
39,2
40,4
41,3
42,4
43,2
44,2
45,4
46,3
47,3
48,2
49,4
50,3
51,4
52,0
53,4
54,0
55,0
56,1
57,0
58,4
59,3
60,4
61,2
62,1
63,0
64,2
65,0
66,3
67,1
68,3
69,3
70,3
71,0
72,2
73,2
74,0
75,4
76,4
77,2
78,2
79,3
80,4
81,1
82,2
83,0
84,4
85,0
86,2
87,0
88,0
89,2
90,0
91,3
92,0
93,0
94,0
95,3
96,0
97,3
98,1
99,1
100,3
101,0
102,0
103,1
104,0
105,4
106,2
107,0
108,1
109,2
110,4
111,0
112,0
113,1
114,2
115,2
116,4
117,0
118,3
119,0
120,3
121,4
122,0
123,3
124,1
125,3
126,2
127,0
128,0
129,3
130,2
131,0
132,1
133,0
134,4
135,4
136,0
137,1
138,1
139,2
140,0
141,2
142,2
143,0
144,1
145,2
146,0
147,0
148,0
149,1
150,0
151,3
152,0
153,2
154,1
155,3
156,2
157,0
158,0
159,0
160,4
161,2
162,1
163,1
164,4
165,0
166,0
167,3
168,3
169,2
170,0
171,0
172,0
173,3
174,3
175,0
176,0
177,0
178,0
179,1
180,0
181,4
182,3
183,3
184,2
185,4
186,2
187,0
188,4
189,2
190,4
191,0
192,0
193,4
194,0
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,2
205,3
206,0
207,4
208,1
209,2
210,3
211,2
212,1
213,1
214,2
215,3
216,0
217,4
218,2
219,4
220,1
221,4
222,2
223,0
224,0
225,2
226,4
227,0
228,4
229,0
230,0
231,3
232,3
233,0
234,3
235,1
236,0
237,0
238,4
239,1
240,4
241,0
242,1
243,2
244,1
245,0
246,4
247,1
248,0
249,4
250,0
251,2
252,0
253,0
254,0
255,2
256,1
257,2
258,3
259,1
260,4
261,1
262,4
263,1
264,2
265,2
266,4
267,2
268,0
269,0
270,0
271,0
272,3
273,1
274,0
275,0
276,1
277,2
278,4
279,1
280,1
281,4
282,0
283,0
284,3
285,1
286,0
287,4
288,3
289,3
290,1
291,2
292,4
293,4
294,2
295,0
296,2
297,4
298,4
299,2
300,0
301,2
302,0
303,2
304,2
305,2
306,2
307,0
308,0
309,0
310,1
311,0
312,2
313,3
314,1
315,4
316,2
317,4
318,0
319,0
320,0
321,0
322,0
323,1
324,1
325,3
326,2
327,1
328,3
329,0
330,3
331,1
332,0
333,0
334,4
335,0
336,0
337,0
338,4
339,4
340,1
341,2
342,0
343,0
344,2
345,3
346,0
347,1
348,3
349,1
350,1
351,1
352,4
353,3
354,0
355,1
356,0
357,2
358,4
359,0
360,2
361,0
362,1
363,1
364,3
365,2
366,0
367,4
368,1
369,1
370,0
371,2
372,1
373,3
374,0
375,2
376,0
377,1
378,0
379,1
380,3
381,0
382,0
383,3
384,4
385,4
386,0
387,4
388,4
389,0
390,1
391,0
392,2
393,0
394,2
395,4
396,4
397,1
398,4
399,0
400,3
401,0
402,0
403,4
404,2
405,2
406,0
407,2
408,1
409,4
410,1
411,0
412,3
413,1
414,2
415,2
416,0
417,2
418,4
419,0
420,0
421,2
422,3
423,2
424,0
425,4
426,0
427,4
428,4
429,0
430,0
431,0
432,1
433,1
434,0
435,0
436,0
437,4
438,0
439,2
440,0
441,0
442,4
443,2
444,1
445,2
446,0
447,1
448,0
449,0
450,4
451,1
452,2
453,0
454,3
455,0
456,0
457,2
458,3
459,1
460,2
461,3
462,0
463,0
464,4
465,0
466,3
467,0
468,1
469,0
470,0
471,1
472,2
473,0
474,2
475,0
476,3
477,4
478,0
479,0
480,3
481,1
482,4
483,2
484,1
485,0
486,0
487,0
488,3
489,3
490,2
491,1
492,0
493,3
494,4
495,0
496,1
497,0
498,4
499,2
500,4
501,1
502,0
503,0
504,0
505,4
506,1
507,0
508,4
509,2
510,2
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,0
520,3
521,4
522,3
523,3
524,0
525,0
526,0
527,3
528,4
529,4
530,0
531,0
532,4
533,3
534,4
535,1
536,3
537,4
538,4
539,3
540,0
541,3
542,2
543,1
544,2
545,2
546,4
547,2
548,4
549,0
550,4
551,2
552,1
553,0
554,4
555,0
556,4
557,0
558,0
559,2
560,1
561,4
562,0
563,3
564,3
565,0
566,0
567,0
568,0
569,3
570,2
571,2
572,0
573,0
574,0
575,3
576,4
577,2
578,3
579,4
580,0
581,0
582,0
583,4
584,2
585,3
586,0
587,1
588,0
589,0
590,4
591,1
592,2
593,2
594,2
595,0
596,0
597,3
598,0
599,1
600,0
601,3
602,0
603,2
604,2
605,4
606,4
607,1
608,1
609,1
610,0
611,0
612,4
613,0
614,1
615,4
616,0
617,1
618,3
619,0
620,1
621,1
622,3
623,1
624,4
625,0
626,0
627,1
628,1
629,3
630,3
631,4
632,3
633,4
634,0
635,0
636,1
637,3
638,0
639,1
640,2
641,2
642,0
643,1
644,0
645,1
646,3
647,0
648,3
649,2
650,2
651,2
652,1
653,0
654,3
655,2
656,4
657,2
658,2
659,4
660,2
661,4
662,2
663,4
664,3
665,3
666,1
667,3
668,0
669,2
670,0
671,4
672,0
673,2
674,0
675,4
676,4
677,0
678,4
679,0
680,0
681,3
682,1
683,0
684,0
685,1
686,0
687,4
688,0
689,0
690,0
691,2
692,0
693,2
694,4
695,0
696,4
697,2
698,2
699,3
700,1
701,4
702,4
703,3
704,0
705,4
706,2
707,0
708,0
709,0
710,0
711,4
712,2
713,2
714,1
715,0
716,2
717,4
718,2
719,4
720,1
721,4
722,3
723,3
724,2
725,0
726,4
727,4
728,4
729,0
730,0
731,1
732,0
733,1
734,2
735,4
736,4
737,2
738,0
739,0
740,2
741,1
742,3
743,3
744,2
745,0
746,0
747,0
748,2
749,0
750,1
751,3
752,0
753,4
754,1
755,2
756,2
757,2
758,1
759,0
760,0
761,0
762,4
763,1
764,3
765,1
766,4
767,0
768,0
769,0
770,1
771,2
772,0
773,1
774,0
775,4
776,0
777,0
778,0
779,0
780,2
781,0
782,2
783,3
784,0
785,0
786,3
787,2
788,3
789,2
790,1
791,1
792,2
793,4
794,0
795,3
796,4
797,0
798,1
799,0
800,3
801,0
802,0
803,2
804,0
805,2
806,1
807,2
808,1
809,2
810,3
811,1
812,0
813,0
814,2
815,0
816,0
817,1
818,0
819,1
820,2
821,0
822,3
823,0
824,4
825,0
826,4
827,0
828,2
829,3
830,3
831,0
832,3
833,0
834,4
835,1
836,0
837,0
838,4
839,1
840,0
841,2
842,0
843,1
844,2
845,4
846,1
847,0
848,0
849,3
850,0
851,0
852,4
853,2
854,4
855,0
856,1
857,2
858,1
859,0
860,2
861,0
862,4
863,0
864,1
865,1
866,2
867,4
868,0
869,0
870,1
871,1
872,4
873,2
874,2
875,1
876,2
877,2
878,2
879,0
880,0
881,0
882,1
883,0
884,4
885,4
886,0
887,0
888,4
889,0
890,4
891,0
892,2
893,0
894,0
895,3
896,0
897,1
898,0
899,1
900,0
901,1
902,0
903,4
904,1
905,0
906,1
907,2
908,0
909,2
910,2
911,2
912,1
913,3
914,2
915,0
916,0
917,0
918,0
919,0
920,3
921,1
922,1
923,0
924,1
925,1
926,4
927,0
928,2
929,0
930,0
931,3
932,0
933,4
934,4
935,3
936,1
937,4
938,4
939,4
940,2
941,4
942,2
943,2
944,1
945,0
946,2
947,1
948,0
949,2
950,4
951,1
952,1
953,2
954,1
955,0
956,2
957,2
958,2
959,1
960,0
961,1
962,0
963,2
964,1
965,1
966,3
967,3
968,4
969,2
970,1
971,0
972,3
973,0
974,2
975,3
976,2
977,0
978,3
979,3
980,0
981,2
982,0
983,1
984,3
985,0
986,0
987,4
988,4
989,1
990,4
991,4
992,1
993,0
994,0
995,3
996,0
997,0
998,4
999,0
1000,0
1001,4
1002,0
1003,4
1004,0
1005,0
1006,0
1007,4
1008,0
1009,3
1010,4
1011,3
1012,2
1013,4
1014,2
1015,4
1016,2
1017,4
1018,2
1019,1
1020,0
1021,0
1022,3
1023,0
1024,3
1025,4
1026,1
1027,3
1028,0
1029,4
1030,3
1031,2
1032,0
1033,4
1034,0
1035,4
1036,1
1037,0
1038,0
1039,3
1040,0
1041,0
1042,0
1043,1
1044,1
1045,4
1046,4
1047,0
1048,3
1049,2
1050,2
1051,4
1052,3
1053,1
1054,2
1055,0
1056,1
1057,0
1058,0
1059,0
1060,4
1061,2
1062,0
1063,4
1064,1
1065,1
1066,0
1067,0
1068,0
1069,0
1070,1
1071,0
1072,1
1073,4
1074,2
1075,4
1076,0
1077,3
1078,1
1079,0
1080,0
1081,2
1082,3
1083,3
1084,4
1085,3
1086,1
1087,4
1088,2
1089,0
1090,0
1091,4
1092,4
1093,2
1094,4
1095,0
1096,2
1097,0
1098,2
1099,3
1100,1
1101,1
1102,0
1103,1
1104,2
1105,3
1106,3
1107,0
1108,3
1109,3
1110,2
1111,3
1112,3
1113,2
1114,4
1115,0
1116,3
1117,4
1118,2
1119,3
1120,0
1121,3
1122,3
1123,2
1124,4
1125,4
1126,0
1127,0
1128,1
1129,0
1130,1
1131,3
1132,0
1133,0
1134,1
1135,4
1136,2
1137,1
1138,2
1139,3
1140,0
1141,0
1142,0
1143,2
1144,1
1145,3
1146,0
1147,1
1148,1
1149,3
1150,1
1151,0
1152,1
1153,3
1154,3
1155,0
1156,0
1157,2
1158,2
1159,0
1160,4
1161,1
1162,0
1163,4
1164,0
1165,4
1166,4
1167,1
1168,0
1169,0
1170,1
1171,3
1172,2
1173,3
1174,4
1175,0
1176,1
1177,2
1178,1
1179,1
1180,0
1181,1
1182,2
1183,3
1184,2
1185,1
1186,2
1187,1
1188,2
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,2
1196,3
1197,0
1198,0
1199,1
1200,4
1201,0
1202,0
1203,3
1204,3
1205,4
1206,0
1207,4
1208,0
1209,1
1210,0
1211,3
1212,1
1213,4
1214,4
1215,3
1216,0
1217,2
1218,2
1219,1
1220,1
1221,1
1222,2
1223,0
1224,0
1225,3
1226,4
1227,4
1228,1
